title	url	local	status
Milvus: A Purpose-Built Vector Data Management System	https://www.cs.purdue.edu/homes/csjgwang/pubs/SIGMOD21_Milvus.pdf	related-work/pdfs/milvus.pdf	ok (1849361 bytes)
Vexless: A Serverless Vector Data Management System Using Cloud Functions	https://par.nsf.gov/servlets/purl/10570270	related-work/pdfs/sec4/vexless.pdf	ok (2520808 bytes)
Building Stateless Serverless Vector DBs via Block-based Data Partitioning	https://danielbcn.com/papers/2025-SIGMOD-Serverless_Vector_DBs_Partitioning.pdf	related-work/pdfs/building-stateless-serverless-vector-dbs-via-block.pdf	ok (2477230 bytes)
VStream: A Distributed Streaming Vector Search System	https://www.vldb.org/pvldb/vol18/p1593-gao.pdf	related-work/pdfs/sec4/vstream.pdf	ok (1923381 bytes)
Auncel: Fast, Approximate Vector Queries on Very Large Unstructured Datasets	https://www.usenix.org/system/files/nsdi23-zhang-zili.pdf	related-work/pdfs/auncel.pdf	ok (1481844 bytes)
NetANNS: A High-Performance Distributed Search Framework Based on In-Network Computing	https://www.cloud-conf.net/ispa2021/proc/pdfs/ISPA-BDCloud-SocialCom-SustainCom2021-3mkuIWCJVSdKJpBYM7KEKW/264600a271/264600a271.pdf	related-work/pdfs/netanns.pdf	ok (266345 bytes)
Unleashing Graph Partitioning for Large-Scale Nearest Neighbor Search	https://www.vldb.org/pvldb/vol18/p1649-gottesbueren.pdf	related-work/pdfs/sec4/unleashing-graph-partitioning-for-large-scale-near.pdf	ok (1591119 bytes)
VEARCH / Gamma: Real-Time Visual Search on JD E-commerce Platform	https://arxiv.org/pdf/1908.07389.pdf	related-work/pdfs/vearch-gamma.pdf	ok (3754629 bytes)
Cost-Effective, Low Latency Vector Search with Azure Cosmos DB (Sharded DiskANN)	https://arxiv.org/pdf/2505.05885.pdf	related-work/pdfs/cost-effective-low-latency-vector-search-with-azur.pdf	ok (1771817 bytes)
HARMONY: A Scalable Distributed Vector Database for High-Throughput ANN Search	https://dspace.mit.edu/bitstream/handle/1721.1/164256/3749167.pdf	related-work/pdfs/sec4/harmony.pdf	ok (3814366 bytes)
LindormVector: A Distributed Vector Engine on a Cloud-Native Multi-Model NoSQL Database	https://dl.acm.org/doi/pdf/10.1145/3788853.3803088	related-work/pdfs/lindormvector.pdf	fail: HTTP Error 403: Forbidden
AnalyticDB-V (ADBV): A Hybrid Analytical Engine Towards Query Fusion for Structured and Unstructured Data	https://www.vldb.org/pvldb/vol13/p3152-wei.pdf	related-work/pdfs/sec4/analyticdb-v.pdf	ok (3839398 bytes)
GaussDB-Vector: A Large-Scale Persistent Real-Time Vector Database for LLM Applications	https://www.vldb.org/pvldb/vol18/p4951-sun.pdf	related-work/pdfs/sec4/gaussdb-vector.pdf	ok (5566584 bytes)
HAKES: Scalable Vector Database for Embedding Search Service	https://www.vldb.org/pvldb/vol18/p3049-ooi.pdf	related-work/pdfs/hakes.pdf	ok (1342689 bytes)
SPANN: Highly-efficient Billion-scale Approximate Nearest Neighbor Search	https://papers.nips.cc/paper_files/paper/2021/file/299dc35e747eb77177d9cea10a802da2-Paper.pdf	related-work/pdfs/spann.pdf	ok (603321 bytes)
Distributed Similarity Search in High Dimensions using Locality Sensitive Hashing	https://openproceedings.org/2009/conf/edbt/HaghaniMA09.pdf	related-work/pdfs/sec4/haghani-distributed-lsh-edbt-2009.pdf	NOT_DOWNLOADED (SSL/timeout)
SPIRE: Scalable Distributed Vector Search via Accuracy Preserving Index Construction	https://arxiv.org/pdf/2512.17264.pdf	related-work/pdfs/sec4/spire.pdf	ok (713097 bytes)
DISTRIBUTEDANN: Efficient Scaling of a Single DiskANN Graph Across Thousands of Computers	https://arxiv.org/pdf/2509.06046.pdf	related-work/pdfs/distributedann.pdf	ok (496188 bytes)
CoTra: Towards Efficient and Scalable Distributed Vector Search with RDMA	https://arxiv.org/pdf/2507.06653.pdf	related-work/pdfs/sec4/cotra.pdf	ok (1418637 bytes)
RED-ANNS: An RDMA-Enabled Distributed Framework for Graph-Based ANN Search	https://kay21s.github.io/RED-ANNS-VLDB2026.pdf	related-work/pdfs/sec4/red-anns.pdf	ok (1293256 bytes)
SHINE: A Scalable HNSW Index in Disaggregated Memory	https://arxiv.org/pdf/2507.17647.pdf	related-work/pdfs/shine.pdf	ok (2510151 bytes)
d-HNSW: A High-performance Vector Search Engine on Disaggregated Memory	https://arxiv.org/pdf/2603.13591.pdf	related-work/pdfs/d-hnsw.pdf	ok (8272549 bytes)
BatANN: Passing the Baton — High Throughput Distributed Disk-Based Vector Search	https://arxiv.org/pdf/2512.09331.pdf	related-work/pdfs/batann.pdf	ok (3618523 bytes)
DSANN: Approximate Nearest Neighbor Search of Large Scale Vectors on Distributed Storage	https://arxiv.org/pdf/2510.17326.pdf	related-work/pdfs/dsann.pdf	ok (822265 bytes)
CXL-ANNS: Software-Hardware Collaborative Memory Disaggregation for Billion-Scale ANN	https://www.usenix.org/system/files/atc23-jang.pdf	related-work/pdfs/cxl-anns.pdf	ok (6298434 bytes)
SABES (Spatial-Aware Bucket Equal Split)	https://doi.org/10.1109/SBAC-PAD49847.2020.00027	related-work/pdfs/sec4/andrade-sabes-sbac-pad-2020.pdf	NOT_DOWNLOADED (IEEE Xplore paywall)
SABBS / SABBSR (load-balanced spatial bucket placement)	https://www.researchsquare.com/article/rs-4973077/v1	related-work/pdfs/sec4/pereira-sabbs-sabbsr-2024.pdf	ok (730387 bytes)
CockroachDB C-SPANN	https://www.cockroachlabs.com/blog/distributed-vector-indexing-cockroachdb/	related-work/pdfs/cockroachdb-c-spann.pdf	fail: <urlopen error [Errno 54] Connection reset by peer>
SPFresh: Incremental In-Place Update for Billion-Scale Vector Search	https://www.microsoft.com/en-us/research/wp-content/uploads/2023/08/SPFresh_SOSP.pdf	related-work/pdfs/spfresh.pdf	ok (849290 bytes)
PASE: PostgreSQL Ultra-High-Dimensional Approximate Nearest Neighbor Search Extension	https://dl.acm.org/doi/pdf/10.1145/3318464.3386131	related-work/pdfs/pase.pdf	fail: HTTP Error 403: Forbidden
RAIRS: Optimizing Redundant Assignment and List Layout for IVF-Based ANN Search	https://www.shimin-chen.com/papers/rairs-pacmmod26.pdf	related-work/pdfs/rairs.pdf	ok (1102928 bytes)
VHP: Approximate Nearest Neighbor Search via Virtual Hypersphere Partitioning	https://www.vldb.org/pvldb/vol13/p1443-lu.pdf	related-work/pdfs/vhp.pdf	ok (1114003 bytes)
